NUM_ID,ID,set,Extractor,Host.species,Host.family,Host.order,Host.class,Host.phyla,Host.kingdom,Host.Age,Habitat,Water,Migration,Thermal.biology,Disease.species,Disease.isolate,Disease.type,Detection.method,Detection.Detail,Transmission.mode,ecto.endo.parasite,Latitude,Longitude,Location,Month.s.,Year,Date,Span,n,Infected,Prevalence,Paper,Full.citation,Longterm.tmp,bio7,Longterm.pre,Monthly.tmp,Monthly.pre,Uninfected,abslat
11468,BD.3854,BD,NH,Crinia georgiana,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-34.663,117.696,"southwestern Australia, Mount Barker",August,2008,200808,1,36,30,0.83,Riley et al 2013,,15.1,20.3,717,10.4,472,6,34.663
11469,BD.3852,BD,NH,Crinia georgiana,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-34.968,117.843,"southwestern Australia, Bow Bridge",August,2008,200808,1,36,36,1,Riley et al 2013,,15.7,17.1,852,10.4,472,0,34.968
11470,MM.2168,MM,OS,Cervus nippon,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Borrelia garinii,,Bacteria,,,indirect,endoparasite,36.07,120.41,"Central Hokkaido, Japan",August - October,1991,199108,3,84,48,0.571429,Isogai et al 1996,"Isogai, E., Isogai, H., Masuzawa, T., Postic, D., Baranton, G., Kamewaka, Y., Kimura, K., Nishikawa, T., Fujii, N., Ishii, N., Ohno, S. and N. Yamaguti (1996) Borellia burgdorferi sensu lato in an epidemic environment: Wild Sika deer (Cervus nippon yesoensis) with infected ticks and antibodies. Microbiology and Immunology, 40: 13-19.",12.6,33.3,744,21.06666667,382,36,36.07
11471,AM.3661,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI14,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11472,AM.3660,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI13,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11473,AM.3659,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI12,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11474,AM.3658,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI11,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,3,0.272727,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,8,12.04773333
11475,AM.3657,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI10,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,2,0.181818,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,9,12.04773333
11476,AM.3656,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI09,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11477,AM.3655,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI08,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11478,AM.3651,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI07,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,2,0.181818,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,9,12.04773333
11479,AM.3650,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI06,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11480,AM.3649,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI05,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,2,0.181818,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,9,12.04773333
11481,AM.3648,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI04,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,2,0.181818,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,9,12.04773333
